computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
2026-09-07T16:15:10.519,71,71520,71.520,MQ-7,229.20,0.3321,0.4981
2026-09-07T16:15:11.521,72,72520,72.520,MQ-7,228.30,0.3311,0.4967
2026-09-07T16:15:12.521,73,73520,73.520,MQ-7,226.45,0.3304,0.4956
2026-09-07T16:15:13.520,74,74520,74.520,MQ-7,228.50,0.3320,0.4980
2026-09-07T16:15:14.521,75,75520,75.520,MQ-7,229.45,0.3315,0.4972
2026-09-07T16:15:15.521,76,76520,76.520,MQ-7,228.50,0.3309,0.4963
2026-09-07T16:15:16.524,77,77520,77.520,MQ-7,229.10,0.3318,0.4976
2026-09-07T16:15:17.523,78,78520,78.520,MQ-7,228.45,0.3312,0.4968
2026-09-07T16:15:18.523,79,79520,79.520,MQ-7,231.00,0.3318,0.4978
2026-09-07T16:15:19.520,80,80520,80.520,MQ-7,229.70,0.3312,0.4968
2026-09-07T16:15:20.520,81,81520,81.520,MQ-7,225.50,0.3310,0.4966
2026-09-07T16:15:21.520,82,82520,82.520,MQ-7,228.25,0.3310,0.4966
2026-09-07T16:15:22.519,83,83520,83.520,MQ-7,225.75,0.3316,0.4974
2026-09-07T16:15:23.520,84,84520,84.520,MQ-7,227.10,0.3305,0.4958
2026-09-07T16:15:24.520,85,85520,85.520,MQ-7,229.95,0.3318,0.4978
2026-09-07T16:15:25.520,86,86520,86.520,MQ-7,230.50,0.3327,0.4990
2026-09-07T16:15:26.524,87,87520,87.520,MQ-7,227.75,0.3310,0.4966
2026-09-07T16:15:27.520,88,88520,88.520,MQ-7,230.90,0.3302,0.4953
2026-09-07T16:15:28.521,89,89520,89.520,MQ-7,231.00,0.3319,0.4979
2026-09-07T16:15:29.520,90,90520,90.520,MQ-7,228.95,0.3311,0.4967
2026-09-07T16:15:30.519,91,91520,91.520,MQ-7,229.10,0.3305,0.4958
2026-09-07T16:15:31.519,92,92520,92.520,MQ-7,230.60,0.3327,0.4991
2026-09-07T16:15:32.520,93,93520,93.520,MQ-7,229.15,0.3316,0.4973
2026-09-07T16:15:33.519,94,94520,94.520,MQ-7,227.30,0.3296,0.4945
2026-09-07T16:15:34.520,95,95520,95.520,MQ-7,229.85,0.3330,0.4996
2026-09-07T16:15:35.519,96,96520,96.520,MQ-7,227.25,0.3315,0.4972
2026-09-07T16:15:36.520,97,97520,97.520,MQ-7,227.85,0.3313,0.4969
2026-09-07T16:15:37.520,98,98520,98.520,MQ-7,228.15,0.3298,0.4946
2026-09-07T16:15:38.520,99,99520,99.520,MQ-7,229.60,0.3310,0.4964
2026-09-07T16:15:39.520,100,100520,100.520,MQ-7,227.20,0.3331,0.4997
2026-09-07T16:15:40.520,101,101520,101.520,MQ-7,227.20,0.3288,0.4931
2026-09-07T16:15:41.520,102,102520,102.520,MQ-7,228.80,0.3316,0.4975
2026-09-07T16:15:42.520,103,103520,103.520,MQ-7,229.35,0.3318,0.4977
2026-09-07T16:15:43.520,104,104520,104.520,MQ-7,229.35,0.3343,0.5014
2026-09-07T16:15:44.519,105,105520,105.520,MQ-7,230.80,0.3307,0.4961
2026-09-07T16:15:45.521,106,106520,106.520,MQ-7,228.25,0.3313,0.4969
2026-09-07T16:15:46.519,107,107520,107.520,MQ-7,228.50,0.3304,0.4956
2026-09-07T16:15:47.520,108,108520,108.520,MQ-7,227.95,0.3300,0.4951
2026-09-07T16:15:48.519,109,109520,109.520,MQ-7,227.85,0.3313,0.4969
2026-09-07T16:15:49.519,110,110520,110.520,MQ-7,230.05,0.3316,0.4975
2026-09-07T16:15:50.519,111,111520,111.520,MQ-7,229.85,0.3326,0.4989
2026-09-07T16:15:51.519,112,112520,112.520,MQ-7,229.45,0.3320,0.4981
2026-09-07T16:15:52.519,113,113520,113.520,MQ-7,228.70,0.3316,0.4973
2026-09-07T16:15:53.519,114,114520,114.520,MQ-7,230.00,0.3301,0.4951
2026-09-07T16:15:54.519,115,115520,115.520,MQ-7,227.25,0.3293,0.4940
2026-09-07T16:15:55.519,116,116520,116.520,MQ-7,226.55,0.3300,0.4949
2026-09-07T16:15:56.519,117,117520,117.520,MQ-7,228.40,0.3310,0.4965
2026-09-07T16:15:57.519,118,118520,118.520,MQ-7,227.45,0.3298,0.4947
2026-09-07T16:15:58.519,119,119520,119.520,MQ-7,230.75,0.3315,0.4972
2026-09-07T16:15:59.519,120,120520,120.520,MQ-7,228.55,0.3308,0.4962
2026-09-07T16:16:00.518,121,121520,121.520,MQ-7,228.05,0.3315,0.4972
2026-09-07T16:16:01.519,122,122520,122.520,MQ-7,227.20,0.3307,0.4961
2026-09-07T16:16:02.519,123,123520,123.520,MQ-7,226.90,0.3283,0.4924
2026-09-07T16:16:03.519,124,124520,124.520,MQ-7,226.65,0.3305,0.4958
2026-09-07T16:16:04.518,125,125520,125.520,MQ-7,227.50,0.3313,0.4970
2026-09-07T16:16:05.519,126,126520,126.520,MQ-7,227.25,0.3313,0.4969
2026-09-07T16:16:06.518,127,127520,127.520,MQ-7,228.00,0.3304,0.4957
2026-09-07T16:16:07.520,128,128520,128.520,MQ-7,226.25,0.3290,0.4934
2026-09-07T16:16:08.519,129,129520,129.520,MQ-7,226.15,0.3290,0.4936
2026-09-07T16:16:09.520,130,130520,130.520,MQ-7,231.80,0.3302,0.4953
2026-09-07T16:16:10.519,131,131520,131.520,MQ-7,229.00,0.3305,0.4958
2026-09-07T16:16:11.518,132,132520,132.520,MQ-7,229.35,0.3313,0.4970
2026-09-07T16:16:12.519,133,133520,133.520,MQ-7,226.55,0.3296,0.4944
2026-09-07T16:16:13.518,134,134520,134.520,MQ-7,225.20,0.3283,0.4924
2026-09-07T16:16:14.520,135,135520,135.520,MQ-7,228.40,0.3309,0.4963
2026-09-07T16:16:15.519,136,136520,136.520,MQ-7,229.00,0.3318,0.4977
2026-09-07T16:16:16.520,137,137520,137.520,MQ-7,227.95,0.3308,0.4962
2026-09-07T16:16:17.521,138,138520,138.520,MQ-7,227.95,0.3316,0.4974
2026-09-07T16:16:18.518,139,139520,139.520,MQ-7,230.10,0.3321,0.4981
2026-09-07T16:16:19.518,140,140520,140.520,MQ-7,230.75,0.3320,0.4981
2026-09-07T16:16:20.518,141,141520,141.520,MQ-7,227.85,0.3300,0.4949
2026-09-07T16:16:21.518,142,142520,142.520,MQ-7,228.55,0.3302,0.4952
2026-09-07T16:16:22.518,143,143520,143.520,MQ-7,227.35,0.3296,0.4945
2026-09-07T16:16:23.518,144,144520,144.520,MQ-7,227.10,0.3295,0.4942
2026-09-07T16:16:24.518,145,145520,145.520,MQ-7,224.95,0.3295,0.4942
2026-09-07T16:16:25.518,146,146520,146.520,MQ-7,227.85,0.3296,0.4945
2026-09-07T16:16:26.519,147,147520,147.520,MQ-7,229.35,0.3320,0.4981
2026-09-07T16:16:27.519,148,148520,148.520,MQ-7,227.50,0.3307,0.4961
2026-09-07T16:16:28.518,149,149520,149.520,MQ-7,233.60,0.3282,0.4923
2026-09-07T16:16:29.517,150,150520,150.520,MQ-7,229.10,0.3309,0.4963
2026-09-07T16:16:30.518,151,151520,151.520,MQ-7,227.65,0.3309,0.4963
2026-09-07T16:16:31.517,152,152520,152.520,MQ-7,228.10,0.3316,0.4973
2026-09-07T16:16:32.517,153,153520,153.520,MQ-7,228.30,0.3315,0.4972
2026-09-07T16:16:33.517,154,154520,154.520,MQ-7,229.15,0.3309,0.4963
2026-09-07T16:16:34.517,155,155520,155.520,MQ-7,227.60,0.3300,0.4950
2026-09-07T16:16:35.518,156,156520,156.520,MQ-7,228.15,0.3307,0.4961
2026-09-07T16:16:36.519,157,157520,157.520,MQ-7,227.20,0.3291,0.4937
2026-09-07T16:16:37.518,158,158520,158.520,MQ-7,222.65,0.3300,0.4949
2026-09-07T16:16:38.517,159,159520,159.520,MQ-7,228.15,0.3314,0.4971
2026-09-07T16:16:39.516,160,160520,160.520,MQ-7,228.50,0.3291,0.4937
2026-09-07T16:16:40.517,161,161520,161.520,MQ-7,229.20,0.3313,0.4970
2026-09-07T16:16:41.517,162,162520,162.520,MQ-7,227.70,0.3310,0.4964
2026-09-07T16:16:42.517,163,163520,163.520,MQ-7,226.25,0.3308,0.4962
2026-09-07T16:16:43.516,164,164520,164.520,MQ-7,227.55,0.3312,0.4968
2026-09-07T16:16:44.517,165,165520,165.520,MQ-7,228.90,0.3299,0.4948
2026-09-07T16:16:45.519,166,166520,166.520,MQ-7,227.85,0.3299,0.4948
2026-09-07T16:16:46.516,167,167520,167.520,MQ-7,228.25,0.3298,0.4946
2026-09-07T16:16:47.519,168,168520,168.520,MQ-7,226.35,0.3309,0.4963
2026-09-07T16:16:48.517,169,169520,169.520,MQ-7,228.15,0.3309,0.4963
2026-09-07T16:16:49.518,170,170520,170.520,MQ-7,228.40,0.3307,0.4961
2026-09-07T16:16:50.517,171,171520,171.520,MQ-7,228.75,0.3306,0.4959
2026-09-07T16:16:51.517,172,172520,172.520,MQ-7,227.50,0.3288,0.4931
2026-09-07T16:16:52.516,173,173520,173.520,MQ-7,229.05,0.3278,0.4917
2026-09-07T16:16:53.519,174,174520,174.520,MQ-7,227.75,0.3303,0.4954
2026-09-07T16:16:54.517,175,175520,175.520,MQ-7,224.55,0.3289,0.4933
2026-09-07T16:16:55.516,176,176520,176.520,MQ-7,226.75,0.3296,0.4945
2026-09-07T16:16:56.517,177,177520,177.520,MQ-7,225.85,0.3296,0.4945
2026-09-07T16:16:57.518,178,178520,178.520,MQ-7,227.00,0.3298,0.4947
