computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
2026-09-06T18:39:01.329,1,1520,1.520,MQ-4,440.85,0.5073,0.7609
2026-09-06T18:39:02.054,2,2520,2.520,MQ-4,441.05,0.5069,0.7603
2026-09-06T18:39:03.055,3,3520,3.520,MQ-4,440.75,0.5080,0.7619
2026-09-06T18:39:04.056,4,4520,4.520,MQ-4,441.50,0.5076,0.7613
2026-09-06T18:39:05.053,5,5520,5.520,MQ-4,441.65,0.5082,0.7624
2026-09-06T18:39:06.054,6,6520,6.520,MQ-4,443.00,0.5079,0.7618
2026-09-06T18:39:07.054,7,7520,7.520,MQ-4,442.60,0.5067,0.7601
2026-09-06T18:39:08.054,8,8520,8.520,MQ-4,443.10,0.5079,0.7618
2026-09-06T18:39:09.055,9,9520,9.520,MQ-4,439.10,0.5100,0.7649
2026-09-06T18:39:10.054,10,10520,10.520,MQ-4,445.20,0.5080,0.7620
2026-09-06T18:39:11.055,11,11520,11.520,MQ-4,446.20,0.5074,0.7610
2026-09-06T18:39:12.054,12,12520,12.520,MQ-4,442.60,0.5080,0.7620
2026-09-06T18:39:13.054,13,13520,13.520,MQ-4,440.00,0.5077,0.7616
2026-09-06T18:39:14.054,14,14520,14.520,MQ-4,440.95,0.5071,0.7606
2026-09-06T18:39:15.054,15,15520,15.520,MQ-4,441.55,0.5079,0.7618
2026-09-06T18:39:16.055,16,16520,16.520,MQ-4,443.10,0.5070,0.7604
2026-09-06T18:39:17.056,17,17520,17.520,MQ-4,443.00,0.5084,0.7625
2026-09-06T18:39:18.053,18,18520,18.520,MQ-4,442.85,0.5077,0.7616
2026-09-06T18:39:19.057,19,19520,19.520,MQ-4,443.55,0.5063,0.7594
2026-09-06T18:39:20.057,20,20520,20.520,MQ-4,442.90,0.5087,0.7631
2026-09-06T18:39:21.054,21,21520,21.520,MQ-4,440.50,0.5085,0.7627
2026-09-06T18:39:22.058,22,22520,22.520,MQ-4,440.40,0.5066,0.7599
2026-09-06T18:39:23.055,23,23520,23.520,MQ-4,441.70,0.5070,0.7604
2026-09-06T18:39:24.053,24,24520,24.520,MQ-4,441.55,0.5077,0.7615
2026-09-06T18:39:25.054,25,25520,25.520,MQ-4,440.60,0.5055,0.7583
2026-09-06T18:39:26.053,26,26520,26.520,MQ-4,440.65,0.5065,0.7598
2026-09-06T18:39:27.054,27,27520,27.520,MQ-4,441.65,0.5055,0.7583
