computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
2026-09-06T23:55:54.145,1,1520,1.520,MQ-2,105.00,0.2302,0.3453
2026-09-06T23:55:54.860,2,2520,2.520,MQ-2,106.15,0.2305,0.3457
2026-09-06T23:55:55.860,3,3520,3.520,MQ-2,105.50,0.2316,0.3475
2026-09-06T23:55:56.860,4,4520,4.520,MQ-2,107.80,0.2297,0.3445
2026-09-06T23:55:57.861,5,5520,5.520,MQ-2,106.20,0.2295,0.3442
2026-09-06T23:55:58.860,6,6520,6.520,MQ-2,106.10,0.2306,0.3460
2026-09-06T23:55:59.860,7,7520,7.520,MQ-2,106.50,0.2279,0.3418
2026-09-06T23:56:00.859,8,8520,8.520,MQ-2,107.25,0.2294,0.3440
2026-09-06T23:56:01.860,9,9520,9.520,MQ-2,106.00,0.2309,0.3463
2026-09-06T23:56:02.860,10,10520,10.520,MQ-2,105.30,0.2295,0.3442
2026-09-06T23:56:03.860,11,11520,11.520,MQ-2,106.50,0.2283,0.3424
2026-09-06T23:56:04.860,12,12520,12.520,MQ-2,104.80,0.2314,0.3472
2026-09-06T23:56:05.860,13,13520,13.520,MQ-2,105.95,0.2294,0.3441
2026-09-06T23:56:06.860,14,14520,14.520,MQ-2,106.40,0.2269,0.3403
2026-09-06T23:56:07.861,15,15520,15.520,MQ-2,106.45,0.2294,0.3441
2026-09-06T23:56:08.861,16,16520,16.520,MQ-2,105.75,0.2303,0.3454
2026-09-06T23:56:09.861,17,17520,17.520,MQ-2,107.85,0.2296,0.3443
2026-09-06T23:56:10.860,18,18520,18.520,MQ-2,106.15,0.2276,0.3415
2026-09-06T23:56:11.861,19,19520,19.520,MQ-2,105.00,0.2287,0.3430
2026-09-06T23:56:12.859,20,20520,20.520,MQ-2,102.45,0.2304,0.3455
2026-09-06T23:56:13.860,21,21520,21.520,MQ-2,106.10,0.2289,0.3434
2026-09-06T23:56:14.861,22,22520,22.520,MQ-2,104.20,0.2285,0.3427
2026-09-06T23:56:15.860,23,23520,23.520,MQ-2,105.55,0.2276,0.3415
2026-09-06T23:56:16.860,24,24520,24.520,MQ-2,106.60,0.2266,0.3399
2026-09-06T23:56:17.860,25,25520,25.520,MQ-2,106.30,0.2292,0.3438
2026-09-06T23:56:18.860,26,26520,26.520,MQ-2,106.30,0.2306,0.3458
2026-09-06T23:56:19.861,27,27520,27.520,MQ-2,106.60,0.2296,0.3443
2026-09-06T23:56:20.860,28,28520,28.520,MQ-2,104.05,0.2295,0.3442
2026-09-06T23:56:21.860,29,29520,29.520,MQ-2,106.15,0.2288,0.3432
2026-09-06T23:56:22.861,30,30520,30.520,MQ-2,106.15,0.2303,0.3454
2026-09-06T23:56:23.860,31,31520,31.520,MQ-2,107.20,0.2299,0.3448
2026-09-06T23:56:24.860,32,32520,32.520,MQ-2,105.40,0.2294,0.3440
2026-09-06T23:56:25.859,33,33520,33.520,MQ-2,106.15,0.2282,0.3423
2026-09-06T23:56:26.859,34,34520,34.520,MQ-2,105.45,0.2296,0.3445
2026-09-06T23:56:27.861,35,35520,35.520,MQ-2,105.75,0.2295,0.3442
2026-09-06T23:56:28.860,36,36520,36.520,MQ-2,107.20,0.2298,0.3446
2026-09-06T23:56:29.859,37,37520,37.520,MQ-2,101.65,0.2278,0.3417
2026-09-06T23:56:30.861,38,38520,38.520,MQ-2,106.65,0.2294,0.3440
2026-09-06T23:56:31.859,39,39520,39.520,MQ-2,106.90,0.2312,0.3467
2026-09-06T23:56:32.860,40,40520,40.520,MQ-2,104.55,0.2291,0.3436
2026-09-06T23:56:33.858,41,41520,41.520,MQ-2,102.85,0.2301,0.3452
2026-09-06T23:56:34.860,42,42520,42.520,MQ-2,106.00,0.2296,0.3443
2026-09-06T23:56:35.860,43,43520,43.520,MQ-2,105.70,0.2298,0.3446
2026-09-06T23:56:36.859,44,44520,44.520,MQ-2,105.10,0.2295,0.3442
2026-09-06T23:56:37.860,45,45520,45.520,MQ-2,108.20,0.2291,0.3437
2026-09-06T23:56:38.860,46,46520,46.520,MQ-2,107.15,0.2288,0.3431
2026-09-06T23:56:39.860,47,47520,47.520,MQ-2,107.55,0.2309,0.3463
2026-09-06T23:56:40.860,48,48520,48.520,MQ-2,106.25,0.2299,0.3448
2026-09-06T23:56:41.859,49,49520,49.520,MQ-2,105.95,0.2303,0.3454
2026-09-06T23:56:42.860,50,50520,50.520,MQ-2,102.85,0.2297,0.3445
2026-09-06T23:56:43.859,51,51520,51.520,MQ-2,104.35,0.2264,0.3396
2026-09-06T23:56:44.859,52,52520,52.520,MQ-2,107.00,0.2300,0.3450
2026-09-06T23:56:45.859,53,53520,53.520,MQ-2,105.45,0.2286,0.3430
2026-09-06T23:56:46.859,54,54520,54.520,MQ-2,105.85,0.2285,0.3427
2026-09-06T23:56:47.859,55,55520,55.520,MQ-2,106.50,0.2290,0.3435
2026-09-06T23:56:48.859,56,56520,56.520,MQ-2,105.95,0.2299,0.3448
2026-09-06T23:56:49.859,57,57520,57.520,MQ-2,106.95,0.2294,0.3441
2026-09-06T23:56:50.860,58,58520,58.520,MQ-2,105.90,0.2296,0.3444
2026-09-06T23:56:51.859,59,59520,59.520,MQ-2,105.65,0.2299,0.3448
2026-09-06T23:56:52.859,60,60520,60.520,MQ-2,105.60,0.2292,0.3438
2026-09-06T23:56:53.859,61,61520,61.520,MQ-2,107.65,0.2300,0.3450
2026-09-06T23:56:54.859,62,62520,62.520,MQ-2,103.95,0.2286,0.3429
2026-09-06T23:56:55.858,63,63520,63.520,MQ-2,105.50,0.2289,0.3433
2026-09-06T23:56:56.858,64,64520,64.520,MQ-2,106.50,0.2288,0.3432
2026-09-06T23:56:57.858,65,65520,65.520,MQ-2,105.00,0.2289,0.3434
2026-09-06T23:56:58.858,66,66520,66.520,MQ-2,104.95,0.2295,0.3442
2026-09-06T23:56:59.857,67,67520,67.520,MQ-2,105.30,0.2297,0.3445
2026-09-06T23:57:00.858,68,68520,68.520,MQ-2,106.50,0.2289,0.3434
2026-09-06T23:57:01.860,69,69520,69.520,MQ-2,105.50,0.2313,0.3469
2026-09-06T23:57:02.858,70,70520,70.520,MQ-2,106.80,0.2289,0.3433
2026-09-06T23:57:03.858,71,71520,71.520,MQ-2,105.95,0.2296,0.3443
2026-09-06T23:57:04.859,72,72520,72.520,MQ-2,107.25,0.2284,0.3425
2026-09-06T23:57:05.859,73,73520,73.520,MQ-2,106.10,0.2286,0.3430
2026-09-06T23:57:06.858,74,74520,74.520,MQ-2,106.60,0.2282,0.3423
2026-09-06T23:57:07.860,75,75520,75.520,MQ-2,104.45,0.2270,0.3405
2026-09-06T23:57:08.858,76,76520,76.520,MQ-2,105.20,0.2287,0.3430
2026-09-06T23:57:09.858,77,77520,77.520,MQ-2,106.25,0.2299,0.3449
2026-09-06T23:57:10.857,78,78520,78.520,MQ-2,104.70,0.2294,0.3440
2026-09-06T23:57:11.857,79,79520,79.520,MQ-2,106.05,0.2292,0.3439
2026-09-06T23:57:12.858,80,80520,80.520,MQ-2,105.45,0.2296,0.3445
2026-09-06T23:57:13.857,81,81520,81.520,MQ-2,99.15,0.2299,0.3448
2026-09-06T23:57:14.857,82,82520,82.520,MQ-2,105.55,0.2303,0.3454
2026-09-06T23:57:15.857,83,83520,83.520,MQ-2,106.50,0.2295,0.3442
2026-09-06T23:57:16.857,84,84520,84.520,MQ-2,105.50,0.2291,0.3437
2026-09-06T23:57:17.857,85,85520,85.520,MQ-2,104.55,0.2294,0.3441
2026-09-06T23:57:18.858,86,86520,86.520,MQ-2,106.25,0.2303,0.3454
2026-09-06T23:57:19.857,87,87520,87.520,MQ-2,104.95,0.2299,0.3448
2026-09-06T23:57:20.856,88,88520,88.520,MQ-2,106.40,0.2288,0.3432
2026-09-06T23:57:21.857,89,89520,89.520,MQ-2,104.05,0.2323,0.3484
2026-09-06T23:57:22.866,90,90520,90.520,MQ-2,105.65,0.2291,0.3436
2026-09-06T23:57:23.856,91,91520,91.520,MQ-2,105.55,0.2307,0.3461
